date,province,no_patient,pm25
2020-01-04,ตาก,8,33.0
2020-01-04,นครปฐม,17,51.0
2020-01-04,นครราชสีมา,36,27.0
2020-01-04,นครสวรรค์,11,34.0
2020-01-04,นนทบุรี,19,36.0
2020-01-04,นราธิวาส,21,13.0
2020-01-04,น่าน,7,17.5
2020-01-04,ปทุมธานี,18,34.0
2020-01-04,ปราจีนบุรี,7,28.0
2020-01-04,พระนครศรีอยุธยา,23,46.0
2020-01-04,พะเยา,8,28.0
2020-01-04,ภูเก็ต,5,9.0
2020-01-04,ยะลา,13,12.5
2020-01-04,ระยอง,11,37.0
2020-01-04,ราชบุรี,18,76.0
2020-01-04,ลำปาง,13,36.25
2020-01-04,ลำพูน,8,49.0
2020-01-04,สงขลา,35,12.0
2020-01-04,สตูล,26,9.0
2020-01-04,สมุทรปราการ,13,39.2
2020-01-04,สมุทรสงคราม,4,
2020-01-04,สมุทรสาคร,15,50.5
2020-01-04,สระบุรี,11,44.5
2020-01-04,สระแก้ว,4,45.0
2020-01-04,สุราษฎร์ธานี,17,18.0
2020-01-04,หนองคาย,6,
2020-01-04,อุบลราชธานี,28,
2020-01-04,เชียงราย,15,22.5
2020-01-04,เชียงใหม่,58,33.0
2020-01-04,เลย,6,19.0
2020-01-04,แพร่,5,36.0
2020-01-04,แม่ฮ่องสอน,2,25.0
2020-01-05,กรุงเทพมหานคร,13,41.75
2020-01-05,กาญจนบุรี,11,56.0
2020-01-05,ขอนแก่น,66,25.0
2020-01-05,ฉะเชิงเทรา,16,40.0
2020-01-05,ชลบุรี,32,48.666666666666664
2020-01-05,ตาก,5,40.0
2020-01-05,นครปฐม,10,56.0
2020-01-05,นครราชสีมา,26,28.0
2020-01-05,นครสวรรค์,18,34.0
2020-01-05,นนทบุรี,26,39.0
2020-01-05,นราธิวาส,19,18.0
2020-01-05,น่าน,6,20.0
2020-01-05,ปทุมธานี,15,44.0
2020-01-05,ปราจีนบุรี,6,39.0
2020-01-05,พระนครศรีอยุธยา,19,47.0
2020-01-05,พะเยา,7,37.0
2020-01-05,ภูเก็ต,3,9.0
2020-01-05,ยะลา,14,13.5
2020-01-05,ระยอง,15,45.8
2020-01-05,ราชบุรี,18,71.0
2020-01-05,ลำปาง,11,47.0
2020-01-05,ลำพูน,9,69.0
2020-01-05,สงขลา,34,14.0
2020-01-05,สตูล,14,10.0
2020-01-05,สมุทรปราการ,12,46.6
2020-01-05,สมุทรสงคราม,5,
2020-01-05,สมุทรสาคร,14,57.0
2020-01-05,สระบุรี,12,45.0
2020-01-05,สระแก้ว,8,44.0
2020-01-05,สุราษฎร์ธานี,11,20.0
2020-01-05,หนองคาย,6,
2020-01-05,อุบลราชธานี,35,
2020-01-05,เชียงราย,15,32.5
2020-01-05,เชียงใหม่,29,58.0
2020-01-05,เลย,9,23.0
2020-01-05,แพร่,7,42.0
2020-01-05,แม่ฮ่องสอน,6,26.0
2020-01-06,กรุงเทพมหานคร,73,48.416666666666664
2020-01-06,กาญจนบุรี,52,71.0
2020-01-06,ขอนแก่น,115,34.0
2020-01-06,ฉะเชิงเทรา,20,38.0
2020-01-06,ชลบุรี,91,48.666666666666664
2020-01-06,ตาก,25,41.0
2020-01-06,นครปฐม,77,57.0
2020-01-06,นครราชสีมา,110,35.0
2020-01-06,นครสวรรค์,54,45.0
2020-01-06,นนทบุรี,86,46.5
2020-01-06,นราธิวาส,17,24.0
2020-01-06,น่าน,15,25.5
2020-01-06,ปทุมธานี,37,42.0
2020-01-06,ปราจีนบุรี,16,41.0
2020-01-06,พระนครศรีอยุธยา,56,52.0
2020-01-06,พะเยา,14,43.0
2020-01-06,ภูเก็ต,25,16.0
2020-01-06,ยะลา,41,21.0
2020-01-06,ระยอง,48,54.8
2020-01-06,ราชบุรี,40,62.0
2020-01-06,ลำปาง,49,57.5
2020-01-06,ลำพูน,40,57.0
2020-01-06,สงขลา,105,21.0
2020-01-06,สตูล,25,20.0
2020-01-06,สมุทรปราการ,29,49.2
2020-01-06,สมุทรสงคราม,16,
2020-01-06,สมุทรสาคร,131,66.5
2020-01-06,สระบุรี,44,58.5
2020-01-06,สระแก้ว,8,48.0
2020-01-06,สุราษฎร์ธานี,76,18.0
2020-01-06,หนองคาย,20,
2020-01-06,อุบลราชธานี,98,
2020-01-06,เชียงราย,53,33.5
2020-01-06,เชียงใหม่,120,39.0
2020-01-06,เลย,31,32.0
2020-01-06,แพร่,21,52.0
2020-01-06,แม่ฮ่องสอน,9,22.0
2020-01-07,กรุงเทพมหานคร,100,52.0
2020-01-07,กาญจนบุรี,46,72.0
2020-01-07,ขอนแก่น,164,60.0
2020-01-07,ฉะเชิงเทรา,41,46.0
2020-01-07,ชลบุรี,130,61.666666666666664
2020-01-07,ตาก,13,41.0
2020-01-07,นครปฐม,42,53.0
2020-01-07,นครราชสีมา,175,46.0
2020-01-07,นครสวรรค์,41,59.0
2020-01-07,นนทบุรี,93,51.0
2020-01-07,นราธิวาส,28,20.0
2020-01-07,น่าน,19,35.5
2020-01-07,ปทุมธานี,31,59.0
2020-01-07,ปราจีนบุรี,32,48.0
2020-01-07,พระนครศรีอยุธยา,70,58.0
2020-01-07,พะเยา,13,50.0
2020-01-07,ภูเก็ต,12,28.0
2020-01-07,ยะลา,27,19.5
2020-01-07,ระยอง,26,55.5
2020-01-07,ราชบุรี,42,70.0
2020-01-07,ลำปาง,35,70.0
2020-01-07,ลำพูน,31,55.0
2020-01-07,สงขลา,110,19.0
2020-01-07,สตูล,20,15.0
2020-01-07,สมุทรปราการ,53,55.0
2020-01-07,สมุทรสงคราม,17,
2020-01-07,สมุทรสาคร,104,62.5
2020-01-07,สระบุรี,48,69.0
2020-01-07,สระแก้ว,12,50.0
2020-01-07,สุราษฎร์ธานี,44,31.0
2020-01-07,หนองคาย,8,
2020-01-07,อุบลราชธานี,131,
2020-01-07,เชียงราย,68,32.0
2020-01-07,เชียงใหม่,86,29.0
2020-01-07,เลย,13,34.0
2020-01-07,แพร่,27,60.0
2020-01-07,แม่ฮ่องสอน,6,18.0
2020-01-08,กรุงเทพมหานคร,77,55.666666666666664
2020-01-08,กาญจนบุรี,71,83.0
2020-01-08,ขอนแก่น,167,42.0
2020-01-08,ฉะเชิงเทรา,26,61.0
2020-01-08,ชลบุรี,95,63.333333333333336
2020-01-08,ตาก,5,54.0
2020-01-08,นครปฐม,57,55.0
2020-01-08,นครราชสีมา,106,39.0
2020-01-08,นครสวรรค์,138,53.0
2020-01-08,นนทบุรี,43,51.5
2020-01-08,นราธิวาส,29,14.0
2020-01-08,น่าน,14,33.5
2020-01-08,ปทุมธานี,42,51.0
2020-01-08,ปราจีนบุรี,8,45.0
2020-01-08,พระนครศรีอยุธยา,65,61.0
2020-01-08,พะเยา,12,59.0
2020-01-08,ภูเก็ต,18,12.0
2020-01-08,ยะลา,35,12.0
2020-01-08,ระยอง,41,52.0
2020-01-08,ราชบุรี,54,82.0
2020-01-08,ลำปาง,72,63.5
2020-01-08,ลำพูน,16,70.0
2020-01-08,สงขลา,100,12.0
2020-01-08,สตูล,18,8.0
2020-01-08,สมุทรปราการ,78,60.6
2020-01-08,สมุทรสงคราม,19,
2020-01-08,สมุทรสาคร,106,60.0
2020-01-08,สระบุรี,40,66.5
2020-01-08,สระแก้ว,8,48.0
2020-01-08,สุราษฎร์ธานี,46,18.0
2020-01-08,หนองคาย,26,
2020-01-08,อุบลราชธานี,110,
2020-01-08,เชียงราย,62,45.5
2020-01-08,เชียงใหม่,107,53.5
2020-01-08,เลย,16,34.0
2020-01-08,แพร่,22,60.0
2020-01-08,แม่ฮ่องสอน,10,18.0
2020-01-09,กรุงเทพมหานคร,97,56.583333333333336
2020-01-09,กาญจนบุรี,41,71.0
2020-01-09,ขอนแก่น,204,43.0
2020-01-09,ฉะเชิงเทรา,30,50.0
2020-01-09,ชลบุรี,141,55.0
2020-01-09,ตาก,4,53.0
2020-01-09,นครปฐม,55,74.0
2020-01-09,นครราชสีมา,99,40.0
2020-01-09,นครสวรรค์,32,55.0
2020-01-09,นนทบุรี,42,60.5
2020-01-09,นราธิวาส,21,17.0
2020-01-09,น่าน,12,32.0
2020-01-09,ปทุมธานี,44,63.0
2020-01-09,ปราจีนบุรี,18,48.0
2020-01-09,พระนครศรีอยุธยา,51,57.0
2020-01-09,พะเยา,11,56.0
2020-01-09,ภูเก็ต,41,7.0
2020-01-09,ยะลา,39,12.0
2020-01-09,ระยอง,31,51.4
2020-01-09,ราชบุรี,42,90.0
2020-01-09,ลำปาง,29,56.5
2020-01-09,ลำพูน,23,68.0
2020-01-09,สงขลา,71,12.0
2020-01-09,สตูล,70,8.0
2020-01-09,สมุทรปราการ,27,59.0
2020-01-09,สมุทรสงคราม,4,
2020-01-09,สมุทรสาคร,68,84.5
2020-01-09,สระบุรี,61,61.5
2020-01-09,สระแก้ว,25,48.0
2020-01-09,สุราษฎร์ธานี,43,12.0
2020-01-09,หนองคาย,11,
2020-01-09,อุบลราชธานี,81,
2020-01-09,เชียงราย,53,49.0
2020-01-09,เชียงใหม่,93,58.0
2020-01-09,เลย,18,33.0
2020-01-09,แพร่,23,72.0
2020-01-09,แม่ฮ่องสอน,7,29.0
2020-01-10,กรุงเทพมหานคร,49,84.66666666666667
2020-01-10,กาญจนบุรี,38,82.0
2020-01-10,ขอนแก่น,186,46.0
2020-01-10,ฉะเชิงเทรา,20,47.0
2020-01-10,ชลบุรี,52,62.0
2020-01-10,ตาก,7,50.0
2020-01-10,นครปฐม,72,77.0
2020-01-10,นครราชสีมา,92,44.0
2020-01-10,นครสวรรค์,29,62.0
2020-01-10,นนทบุรี,30,77.0
2020-01-10,นราธิวาส,32,18.0
2020-01-10,น่าน,25,40.5
2020-01-10,ปทุมธานี,101,67.0
2020-01-10,ปราจีนบุรี,14,46.0
2020-01-10,พระนครศรีอยุธยา,47,60.0
2020-01-10,พะเยา,26,57.0
2020-01-10,ภูเก็ต,20,13.0
2020-01-10,ยะลา,19,14.0
2020-01-10,ระยอง,28,54.2
2020-01-10,ราชบุรี,61,88.0
2020-01-10,ลำปาง,24,62.5
2020-01-10,ลำพูน,11,65.0
2020-01-10,สงขลา,164,15.0
2020-01-10,สตูล,16,11.0
2020-01-10,สมุทรปราการ,49,88.0
2020-01-10,สมุทรสงคราม,6,
2020-01-10,สมุทรสาคร,78,101.5
2020-01-10,สระบุรี,66,63.5
2020-01-10,สระแก้ว,13,47.0
2020-01-10,สุราษฎร์ธานี,60,17.0
2020-01-10,หนองคาย,10,
2020-01-10,อุบลราชธานี,151,
2020-01-10,เชียงราย,54,44.0
2020-01-10,เชียงใหม่,95,48.0
2020-01-10,เลย,18,41.0
2020-01-10,แพร่,22,87.0
2020-01-10,แม่ฮ่องสอน,8,23.0
2020-01-11,กรุงเทพมหานคร,19,46.916666666666664
2020-01-11,กาญจนบุรี,16,68.0
2020-01-11,ขอนแก่น,47,50.0
2020-01-11,ฉะเชิงเทรา,14,41.0
2020-01-11,ชลบุรี,32,39.0
2020-01-11,ตาก,2,54.0
2020-01-11,นครปฐม,20,70.0
2020-01-11,นครราชสีมา,33,50.0
2020-01-11,นครสวรรค์,10,59.0
2020-01-11,นนทบุรี,29,50.5
2020-01-11,นราธิวาส,11,18.0
2020-01-11,น่าน,11,42.5
2020-01-11,ปทุมธานี,21,51.0
2020-01-11,ปราจีนบุรี,9,69.0
2020-01-11,พระนครศรีอยุธยา,31,60.0
2020-01-11,พะเยา,7,45.0
2020-01-11,ภูเก็ต,7,18.0
2020-01-11,ยะลา,12,15.5
2020-01-11,ระยอง,11,25.4
2020-01-11,ราชบุรี,22,73.0
2020-01-11,ลำปาง,9,57.25
2020-01-11,ลำพูน,4,62.0
2020-01-11,สงขลา,30,16.0
2020-01-11,สตูล,13,13.0
2020-01-11,สมุทรปราการ,20,42.0
2020-01-11,สมุทรสงคราม,4,
2020-01-11,สมุทรสาคร,18,60.0
2020-01-11,สระบุรี,9,70.0
2020-01-11,สระแก้ว,7,44.0
2020-01-11,สุราษฎร์ธานี,21,21.0
2020-01-11,หนองคาย,4,
2020-01-11,อุบลราชธานี,35,
2020-01-11,เชียงราย,16,25.5
2020-01-11,เชียงใหม่,41,35.0
2020-01-11,เลย,10,50.0
2020-01-11,แพร่,4,86.0
2020-01-11,แม่ฮ่องสอน,7,24.0
2020-01-12,กรุงเทพมหานคร,15,37.25
2020-01-12,กาญจนบุรี,15,53.0
2020-01-12,ขอนแก่น,77,40.0
2020-01-12,ฉะเชิงเทรา,15,31.0
2020-01-12,ชลบุรี,28,31.666666666666668
2020-01-12,ตาก,4,58.0
2020-01-12,นครปฐม,14,41.0
2020-01-12,นครราชสีมา,39,50.0
2020-01-12,นครสวรรค์,10,64.0
2020-01-12,นนทบุรี,19,42.5
2020-01-12,นราธิวาส,12,20.0
2020-01-12,น่าน,5,42.0
2020-01-12,ปทุมธานี,17,38.0
2020-01-12,ปราจีนบุรี,5,57.0
2020-01-12,พระนครศรีอยุธยา,23,47.0
2020-01-12,พะเยา,5,36.0
2020-01-12,ภูเก็ต,5,22.0
2020-01-12,ยะลา,19,16.0
2020-01-12,ระยอง,13,24.0
2020-01-12,ราชบุรี,27,61.0
2020-01-12,ลำปาง,6,80.25
2020-01-12,ลำพูน,5,64.0
2020-01-12,สงขลา,37,19.0
2020-01-12,สตูล,7,18.0
2020-01-12,สมุทรปราการ,16,34.6
2020-01-12,สมุทรสงคราม,4,
2020-01-12,สมุทรสาคร,23,36.0
2020-01-12,สระบุรี,11,55.5
2020-01-12,สระแก้ว,5,51.0
2020-01-12,สุราษฎร์ธานี,18,29.0
2020-01-12,หนองคาย,4,
2020-01-12,อุบลราชธานี,26,
2020-01-12,เชียงราย,13,24.0
2020-01-12,เชียงใหม่,22,41.0
2020-01-12,เลย,5,50.0
2020-01-12,แพร่,3,93.0
2020-01-12,แม่ฮ่องสอน,4,25.0
2020-01-13,กรุงเทพมหานคร,77,35.666666666666664
2020-01-13,กาญจนบุรี,45,62.0
2020-01-13,ขอนแก่น,123,42.0
2020-01-13,ฉะเชิงเทรา,23,35.0
2020-01-13,ชลบุรี,119,34.0
2020-01-13,ตาก,14,72.0
2020-01-13,นครปฐม,66,32.0
2020-01-13,นครราชสีมา,150,49.0
2020-01-13,นครสวรรค์,59,51.0
2020-01-13,นนทบุรี,89,38.5
2020-01-13,นราธิวาส,34,18.0
2020-01-13,น่าน,24,42.5
2020-01-13,ปทุมธานี,28,40.0
2020-01-13,ปราจีนบุรี,15,47.0
2020-01-13,พระนครศรีอยุธยา,57,44.0
2020-01-13,พะเยา,17,54.0
2020-01-13,ภูเก็ต,19,18.0
2020-01-13,ยะลา,27,20.0
2020-01-13,ระยอง,51,28.2
2020-01-13,ราชบุรี,41,45.0
2020-01-13,ลำปาง,67,93.0
2020-01-13,ลำพูน,25,66.0
2020-01-13,สงขลา,91,16.0
2020-01-13,สตูล,35,16.0
2020-01-13,สมุทรปราการ,46,37.8
2020-01-13,สมุทรสงคราม,14,
2020-01-13,สมุทรสาคร,127,34.0
2020-01-13,สระบุรี,54,59.0
2020-01-13,สระแก้ว,9,53.0
2020-01-13,สุราษฎร์ธานี,71,25.0
2020-01-13,หนองคาย,17,
2020-01-13,อุบลราชธานี,119,
2020-01-13,เชียงราย,48,40.0
2020-01-13,เชียงใหม่,133,83.0
2020-01-13,เลย,53,40.0
2020-01-13,แพร่,20,87.0
2020-01-13,แม่ฮ่องสอน,10,26.0
2020-01-14,กรุงเทพมหานคร,71,35.333333333333336
2020-01-14,กาญจนบุรี,32,62.0
2020-01-14,ขอนแก่น,151,45.0
2020-01-14,ฉะเชิงเทรา,24,40.0
2020-01-14,ชลบุรี,132,35.666666666666664
2020-01-14,ตาก,14,61.0
2020-01-14,นครปฐม,35,29.0
2020-01-14,นครราชสีมา,134,72.0
2020-01-14,นครสวรรค์,39,59.0
2020-01-14,นนทบุรี,49,36.5
2020-01-14,นราธิวาส,41,17.0
2020-01-14,น่าน,25,45.5
2020-01-14,ปทุมธานี,35,36.0
2020-01-14,ปราจีนบุรี,36,59.0
2020-01-14,พระนครศรีอยุธยา,65,50.0
2020-01-14,พะเยา,11,63.0
2020-01-14,ภูเก็ต,13,11.0
2020-01-14,ยะลา,17,14.5
2020-01-14,ระยอง,23,30.6
2020-01-14,ราชบุรี,67,42.0
2020-01-14,ลำปาง,29,67.25
2020-01-14,ลำพูน,32,49.0
2020-01-14,สงขลา,110,12.0
2020-01-14,สตูล,25,10.0
2020-01-14,สมุทรปราการ,36,34.8
2020-01-14,สมุทรสงคราม,18,
2020-01-14,สมุทรสาคร,111,34.5
2020-01-14,สระบุรี,47,73.0
2020-01-14,สระแก้ว,7,60.0
2020-01-14,สุราษฎร์ธานี,41,17.0
2020-01-14,หนองคาย,12,
2020-01-14,อุบลราชธานี,101,
2020-01-14,เชียงราย,65,48.0
2020-01-14,เชียงใหม่,116,46.5
2020-01-14,เลย,18,45.0
2020-01-14,แพร่,33,72.0
2020-01-14,แม่ฮ่องสอน,4,24.0
2020-01-15,กรุงเทพมหานคร,79,37.333333333333336
2020-01-15,กาญจนบุรี,49,69.0
2020-01-15,ขอนแก่น,157,59.0
2020-01-15,ฉะเชิงเทรา,25,38.0
2020-01-15,ชลบุรี,93,34.666666666666664
2020-01-15,ตาก,6,53.0
2020-01-15,นครปฐม,57,33.0
2020-01-15,นครราชสีมา,101,79.0
2020-01-15,นครสวรรค์,27,51.0
2020-01-15,นนทบุรี,33,40.0
2020-01-15,นราธิวาส,27,22.0
2020-01-15,น่าน,19,49.5
2020-01-15,ปทุมธานี,30,34.0
2020-01-15,ปราจีนบุรี,20,77.0
2020-01-15,พระนครศรีอยุธยา,38,44.0
2020-01-15,พะเยา,4,48.0
2020-01-15,ภูเก็ต,20,17.0
2020-01-15,ยะลา,35,17.0
2020-01-15,ระยอง,35,31.4
2020-01-15,ราชบุรี,29,49.0
2020-01-15,ลำปาง,68,67.0
2020-01-15,ลำพูน,14,28.0
2020-01-15,สงขลา,99,18.0
2020-01-15,สตูล,31,16.0
2020-01-15,สมุทรปราการ,34,35.2
2020-01-15,สมุทรสงคราม,13,
2020-01-15,สมุทรสาคร,74,34.0
2020-01-15,สระบุรี,28,70.0
2020-01-15,สระแก้ว,14,68.0
2020-01-15,สุราษฎร์ธานี,52,22.0
2020-01-15,หนองคาย,22,
2020-01-15,อุบลราชธานี,99,
2020-01-15,เชียงราย,68,26.5
2020-01-15,เชียงใหม่,117,34.5
2020-01-15,เลย,17,56.0
2020-01-15,แพร่,23,81.0
2020-01-15,แม่ฮ่องสอน,11,24.0
2020-01-16,กรุงเทพมหานคร,74,40.75
2020-01-16,กาญจนบุรี,29,79.0
2020-01-16,ขอนแก่น,265,69.0
2020-01-16,ฉะเชิงเทรา,31,40.0
2020-01-16,ชลบุรี,76,40.333333333333336
2020-01-16,ตาก,9,50.0
2020-01-16,นครปฐม,53,36.0
2020-01-16,นครราชสีมา,137,78.0
2020-01-16,นครสวรรค์,30,59.0
2020-01-16,นนทบุรี,46,41.0
2020-01-16,นราธิวาส,21,24.0
2020-01-16,น่าน,9,43.0
2020-01-16,ปทุมธานี,51,41.0
2020-01-16,ปราจีนบุรี,11,57.0
2020-01-16,พระนครศรีอยุธยา,45,56.0
2020-01-16,พะเยา,16,37.0
2020-01-16,ภูเก็ต,41,26.0
2020-01-16,ยะลา,35,22.0
2020-01-16,ระยอง,40,36.4
2020-01-16,ราชบุรี,24,58.0
2020-01-16,ลำปาง,31,63.75
2020-01-16,ลำพูน,19,28.0
2020-01-16,สงขลา,82,29.0
2020-01-16,สตูล,71,21.0
2020-01-16,สมุทรปราการ,34,38.6
2020-01-16,สมุทรสงคราม,7,
2020-01-16,สมุทรสาคร,78,37.0
2020-01-16,สระบุรี,78,69.5
2020-01-16,สระแก้ว,13,62.0
2020-01-16,สุราษฎร์ธานี,43,31.0
2020-01-16,หนองคาย,16,
2020-01-16,อุบลราชธานี,81,
2020-01-16,เชียงราย,49,23.5
2020-01-16,เชียงใหม่,73,31.0
2020-01-16,เลย,16,57.0
2020-01-16,แพร่,34,76.0
2020-01-16,แม่ฮ่องสอน,10,24.0
2020-01-17,กรุงเทพมหานคร,58,47.25
2020-01-17,กาญจนบุรี,50,85.0
2020-01-17,ขอนแก่น,211,66.0
2020-01-17,ฉะเชิงเทรา,25,40.0
2020-01-17,ชลบุรี,58,42.333333333333336
2020-01-17,ตาก,8,51.0
2020-01-17,นครปฐม,57,40.0
2020-01-17,นครราชสีมา,94,81.0
2020-01-17,นครสวรรค์,23,60.0
2020-01-17,นนทบุรี,43,48.5
2020-01-17,นราธิวาส,29,24.0
2020-01-17,น่าน,12,39.5
2020-01-17,ปทุมธานี,26,45.0
2020-01-17,ปราจีนบุรี,16,58.0
2020-01-17,พระนครศรีอยุธยา,65,51.0
2020-01-17,พะเยา,33,44.0
2020-01-17,ภูเก็ต,17,32.0
2020-01-17,ยะลา,24,22.0
2020-01-17,ระยอง,24,39.8
2020-01-17,ราชบุรี,47,66.0
2020-01-17,ลำปาง,28,66.75
2020-01-17,ลำพูน,21,33.0
2020-01-17,สงขลา,125,32.0
2020-01-17,สตูล,22,25.0
2020-01-17,สมุทรปราการ,39,44.6
2020-01-17,สมุทรสงคราม,5,
2020-01-17,สมุทรสาคร,113,45.0
2020-01-17,สระบุรี,44,62.0
2020-01-17,สระแก้ว,13,55.0
2020-01-17,สุราษฎร์ธานี,58,32.0
2020-01-17,หนองคาย,9,
2020-01-17,อุบลราชธานี,208,
2020-01-17,เชียงราย,61,27.0
2020-01-17,เชียงใหม่,103,38.0
2020-01-17,เลย,10,63.0
2020-01-17,แพร่,25,74.0
2020-01-17,แม่ฮ่องสอน,7,28.0
2020-01-18,กรุงเทพมหานคร,20,57.083333333333336
2020-01-18,กาญจนบุรี,8,88.0
2020-01-18,ขอนแก่น,125,54.0
2020-01-18,ฉะเชิงเทรา,15,51.0
2020-01-18,ชลบุรี,38,54.0
2020-01-18,ตาก,2,56.0
2020-01-18,นครปฐม,13,52.0
2020-01-18,นครราชสีมา,35,68.0
2020-01-18,นครสวรรค์,17,66.0
2020-01-18,นนทบุรี,16,61.5
2020-01-18,นราธิวาส,11,22.0
2020-01-18,น่าน,7,46.0
2020-01-18,ปทุมธานี,9,60.0
2020-01-18,ปราจีนบุรี,8,73.0
2020-01-18,พระนครศรีอยุธยา,23,70.0
2020-01-18,พะเยา,7,54.0
2020-01-18,ภูเก็ต,11,27.0
2020-01-18,ยะลา,17,22.0
2020-01-18,ระยอง,8,52.4
2020-01-18,ราชบุรี,24,75.0
2020-01-18,ลำปาง,7,78.25
2020-01-18,ลำพูน,4,45.0
2020-01-18,สงขลา,33,23.0
2020-01-18,สตูล,14,25.0
2020-01-18,สมุทรปราการ,20,53.6
2020-01-18,สมุทรสงคราม,4,
